Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.51,0.02,0.573%,183590301.00,United States,,650786,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$21.29,0.30,1.429%,264116438.00,United States,1998,6232,Capital Goods,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$11.65,0.00,0.00%,22630067.00,United States,,242,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$12.50,0.21,1.709%,970905438.00,United States,1987,1512428,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$11.63,-0.31,-2.596%,140941911.00,Canada,,85289,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$15.75,0.61,4.029%,133630513.00,United States,,68239,Consumer Durables,Electronic Components
COHN,Cohen & Company Inc.,$20.90,0.82,4.084%,33947640.00,United States,,158667,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.898,0.0377,4.382%,39134442.00,China,,582191,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$39.92,0.88,2.254%,19322242990.00,United States,2007,110638,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$11.99,0.11,0.926%,492112860.00,United States,,671562,Finance,Finance/Investors Services
CTEK,CynergisTek Inc. Common Stock,$2.05,-0.02,-0.966%,24847431.00,United States,2017,50992,Technology,Retail: Computer Software & Peripheral Equipment
CVM,Cel-Sci Corporation Common Stock,$9.09,-0.08,-0.872%,388498101.00,United States,,519060,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$26.64,0.00,0.00%,25737756.00,United States,,61,Consumer Non-Durables,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$3.3193,-0.0007,-0.021%,40595992.00,United States,,32006,Capital Goods,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$2.52,-0.22,-8.029%,396785126.00,,,1456394,Consumer Durables,Major Pharmaceuticals
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.54,0.02,0.794%,262908801.00,United States,1998,1210962,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$172.01,1.81,1.063%,94840982.00,United States,,2420,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$32.47,-0.77,-2.316%,226467210.00,United States,,15020,Consumer Non-Durables,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$9.50,0.00,0.00%,197144067.00,United States,1988,31713,Finance,Finance/Investors Services
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.04,-0.06,-5.455%,837101648.00,Canada,,4972814,Basic Industries,Other Metals and Minerals
DPW,Ault Global Holdings Inc. Common Stock,$2.51,0.02,0.803%,124934090.00,United States,,3372762,Capital Goods,Industrial Machinery/Components
DSS,Document Security Systems Inc. Common Stock,$1.35,0.03,2.273%,91246898.00,United States,,797044,Consumer Services,Recreational Products/Toys
